timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-24,3750.20584555,4114.12683774,3529.36516732,3602.36668912,3750.20584555,4114.12683774,3529.36516732,3602.36668912,2803987.12824000,10516574763.20000076
2018-12-31,4015.81953710,4291.45457411,3189.10801549,3752.05575164,4015.81953710,4291.45457411,3189.10801549,3752.05575164,4465346.43133000,16589161545.00000000
2018-11-30,6341.38852605,6555.60352543,3559.57432974,4012.09235790,6341.38852605,6555.60352543,3559.57432974,4012.09235790,3739720.46008000,18164674672.59999847
2018-10-31,6608.85850258,7035.21159590,6191.91529764,6337.46209336,6608.85850258,7035.21159590,6191.91529764,6337.46209336,2051478.84788000,13287890190.10000038
2018-09-30,7040.91116448,7394.17914813,6147.69113989,6630.37019087,7040.91116448,7394.17914813,6147.69113989,6630.37019087,2233907.65378000,14736636817.29999924
2018-08-31,7742.83883076,7757.32199605,5934.43231701,7046.78303475,7742.83883076,7757.32199605,5934.43231701,7046.78303475,2842354.60572000,18866098913.90000153
2018-07-31,6397.47329024,8456.56225937,6139.42717500,7752.96866450,6397.47329024,8456.56225937,6139.42717500,7752.96866450,2522832.48641000,18297755231.70000076
2018-06-30,7515.49836092,7755.42307918,5805.15177998,6394.86045141,7515.49836092,7755.42307918,5805.15177998,6394.86045141,2333133.96567000,15568671622.29999924
2018-05-31,9252.81365477,9940.16206686,7112.69099172,7513.17256169,9252.81365477,9940.16206686,7112.69099172,7513.17256169,2415992.44066000,20440990883.40000153
2018-04-30,6940.78677864,9750.94185948,6474.30854471,9242.93318688,6940.78677864,9750.94185948,6474.30854471,9242.93318688,2944379.49641000,23643068458.70000076
2018-03-31,10335.33132850,11676.43084600,6605.26896412,6940.56190022,10335.33132850,11676.43084600,6605.26896412,6940.56190022,3850876.06100000,33801745424.20000076
2018-02-28,10250.36262940,11786.18070850,6008.04230669,10319.50464710,10250.36262940,11786.18070850,6008.04230669,10319.50464710,4400591.14422000,40005795305.69999695
2018-01-31,13897.78967940,17290.62461900,9293.89294743,10198.47523950,13897.78967940,17290.62461900,9293.89294743,10198.47523950,3671572.99862000,46534062101.40000153
2017-12-31,9948.61809676,19872.61926340,9451.45334217,13884.28347390,9948.61809676,19872.61926340,9451.45334217,13884.28347390,5158608.10870000,77849331918.10000610
2017-11-30,6441.84899337,11350.05565350,5537.01614435,10009.41024800,6441.84899337,11350.05565350,5537.01614435,10009.41024800,4479866.07392000,34783818509.90000153
2017-10-31,4364.67427101,6465.13189161,4159.31495502,6465.13189161,4364.67427101,6465.13189161,4159.31495502,6465.13189161,2889714.69337000,15811886771.70000076
2017-09-30,4737.58756600,4977.83761795,3006.67564221,4362.01932770,4737.58756600,4977.83761795,3006.67564221,4362.01932770,3436588.96769000,13846531040.10000038
2017-08-31,2871.65747425,4765.29078654,2665.64970559,4736.96532709,2871.65747425,4765.29078654,2665.64970559,4736.96532709,2799554.58887000,10880605052.20000076
2017-07-31,2468.91148909,2918.47318715,1840.70081795,2873.15583692,2468.91148909,2918.47318715,1840.70081795,2873.15583692,3275213.57261000,8186698625.10000038
2017-06-30,2281.68026573,2975.72639337,2134.66195666,2468.29342943,2281.68026573,2975.72639337,2134.66195666,2468.29342943,3101284.39484000,8096761491.46000004
2017-05-31,1360.15333076,2748.48441603,1357.61834071,2278.46019201,1360.15333076,2748.48441603,1357.61834071,2278.46019201,3671651.39735000,7035787749.68000031
2017-04-30,1080.49889506,1362.53883744,1071.17744329,1359.44685227,1080.49889506,1362.53883744,1071.17744329,1359.44685227,1904514.26386000,2324448115.11999989
2017-03-31,1188.03775705,1289.00619918,897.37407631,1079.03593159,1188.03775705,1289.00619918,897.37407631,1079.03593159,3395708.75821000,3751019477.03999996
2017-02-28,963.36721100,1207.26207997,944.41012083,1188.03507724,963.36721100,1207.26207997,944.41012083,1188.03507724,1841661.88039000,1963640511.86999989
2017-01-31,955.68108206,1153.01859375,748.59286486,963.51997140,955.68108206,1153.01859375,748.59286486,963.51997140,2833022.94872000,2580435975.05000019
2016-12-31,742.95797707,973.27925476,742.87716090,955.21282783,742.95797707,973.27925476,742.87716090,955.21282783,1857103.91352000,1566007535.64000010
2016-11-30,698.02210176,756.10758216,677.89903971,743.26354799,698.02210176,756.10758216,677.89903971,743.26354799,1674647.86425000,1215070251.08999991
2016-10-31,608.60404016,720.88250655,608.41388405,698.57993169,608.60404016,720.88250655,608.41388405,698.57993169,1244752.45803000,809362463.69000006
2016-09-30,577.23508935,629.38476386,570.66962539,608.68742556,577.23508935,629.38476386,570.66962539,608.68742556,1038550.55965000,629104960.07099998
2016-08-31,625.49522548,627.62507497,490.15321791,577.27143943,625.49522548,627.62507497,490.15321791,577.27143943,1436468.80829000,831422541.18299997
2016-07-31,673.16361119,703.56422330,611.27121328,625.82079625,673.16361119,703.56422330,611.27121328,625.82079625,2161763.72317000,1428673043.29999995
2016-06-30,530.98031272,782.31727959,526.43161842,674.17298004,530.98031272,782.31727959,526.43161842,674.17298004,4145610.22746000,2728123780.23999977
2016-05-31,449.85347502,554.46642392,438.40491105,531.21084087,449.85347502,554.46642392,438.40491105,531.21084087,2030880.65656000,965855280.82000005
2016-04-30,417.23253993,469.64275948,415.02964473,449.92122464,417.23253993,469.64275948,415.02964473,449.92122464,1932603.15542000,848314881.16199994
2016-03-31,438.06280996,440.20781039,392.00218287,417.18115257,438.06280996,440.20781039,392.00218287,417.18115257,2143401.85112000,891880476.53100002
2016-02-29,369.02672180,449.13290441,368.09990563,436.97676383,369.02672180,449.13290441,368.09990563,436.97676383,4036541.62011000,1682525500.07999992
2016-01-31,430.80166813,462.55898720,354.93803821,368.61977926,430.80166813,462.55898720,354.93803821,368.61977926,3311991.78154000,1351640270.93000007
2015-12-31,377.46830182,469.24875128,348.94853050,430.58473992,377.46830182,469.24875128,348.94853050,430.58473992,3836565.18599000,1632351259.50000000
2015-11-30,317.91474898,497.45275381,301.39912474,377.66281744,317.91474898,497.45275381,301.39912474,377.66281744,5123326.32028000,1852595977.53999996
2015-10-31,237.31068009,336.77058256,237.02759645,317.99002361,237.31068009,336.77058256,237.02759645,317.99002361,3238546.82936000,889221614.78999996
2015-09-30,231.33208503,246.20427402,226.46276735,237.21939661,231.33208503,246.20427402,226.46276735,237.21939661,2392505.79370000,562155569.87100005
2015-08-31,285.51527399,286.48546685,198.81215051,231.17992505,285.51527399,286.48546685,198.81215051,231.17992505,3168654.62988000,766866262.09099996
2015-07-31,263.74756404,314.67866663,254.54933399,285.23785199,263.74756404,314.67866663,254.54933399,285.23785199,2760186.02384000,776153159.47200000
2015-06-30,230.51152715,268.97410620,221.89835797,263.50849592,230.51152715,268.97410620,221.89835797,263.50849592,2236182.06980000,538053830.18700004
2015-05-31,236.46583562,248.39146004,229.11307854,230.20330531,236.46583562,248.39146004,229.11307854,230.20330531,2112146.64523000,502392800.07200003
2015-04-30,244.75858286,261.98244759,215.25368342,236.52818251,244.75858286,261.98244759,215.25368342,236.52818251,2642424.40470000,620943579.19500005
2015-03-31,255.37779206,300.74621893,236.76484498,244.64394968,255.37779206,300.74621893,236.76484498,244.64394968,3410864.75646000,918820146.64400005
2015-02-28,217.50060558,266.41950990,212.28768226,255.49919867,217.50060558,266.41950990,212.28768226,255.49919867,3070948.21771000,723079539.10899997
2015-01-31,321.09092558,321.09092558,172.71636605,218.03596138,321.09092558,321.09092558,172.71636605,218.03596138,4455741.58833000,1051115934.70000005
2014-12-31,379.11917575,386.05223736,304.72707218,321.07254644,379.11917575,386.05223736,304.72707218,321.07254644,1747799.56335000,592201616.14699996
2014-11-30,338.32477814,464.63843012,320.42032107,379.10004163,338.32477814,464.63843012,320.42032107,379.10004163,2373736.04829000,897676193.07400000
2014-10-31,388.49377938,410.44627856,285.62069077,338.35525626,388.49377938,410.44627856,285.62069077,338.35525626,2280284.97699000,818398370.72800004
2014-09-30,478.03913188,495.70113896,371.28057644,388.74295439,478.03913188,495.70113896,371.28057644,388.74295439,1166697.89363000,502974256.89499998
2014-08-31,582.39870116,602.94907982,440.49513181,476.83792154,582.39870116,602.94907982,440.49513181,476.83792154,1071036.33138000,555932720.22800004
2014-07-31,641.49395872,658.63040735,561.22697576,582.47429294,641.49395872,658.63040735,561.22697576,582.47429294,562823.14853400,345949472.15499997
2014-06-30,630.84174941,692.67888198,546.21485315,639.19831396,630.84174941,692.67888198,546.21485315,639.19831396,933515.42369200,576678328.92100000
2014-05-31,446.82845513,632.55994615,419.47673550,630.39653818,446.82845513,632.55994615,419.47673550,630.39653818,814983.04605900,418076775.79600000
